scenario,round,client_id,class,precision,recall,f1
Non-IID,1,13,0,0.10101010101010101,1.0,0.1834862385321101
Non-IID,1,13,1,0.0,0.0,0.0
Non-IID,1,13,2,0.0,0.0,0.0
Non-IID,1,13,3,0.0,0.0,0.0
Non-IID,1,13,4,0.0,0.0,0.0
Non-IID,1,13,5,0.0,0.0,0.0
Non-IID,1,13,6,0.0,0.0,0.0
Non-IID,1,13,7,0.0,0.0,0.0
Non-IID,1,13,8,0.0,0.0,0.0
Non-IID,1,13,9,0.0,0.0,0.0
Non-IID,1,18,0,0.10101010101010101,1.0,0.1834862385321101
Non-IID,1,18,1,0.0,0.0,0.0
Non-IID,1,18,2,0.0,0.0,0.0
Non-IID,1,18,3,0.0,0.0,0.0
Non-IID,1,18,4,0.0,0.0,0.0
Non-IID,1,18,5,0.0,0.0,0.0
Non-IID,1,18,6,0.0,0.0,0.0
Non-IID,1,18,7,0.0,0.0,0.0
Non-IID,1,18,8,0.0,0.0,0.0
Non-IID,1,18,9,0.0,0.0,0.0
Non-IID,2,19,0,1.0,0.1,0.18181818181818182
Non-IID,2,19,1,1.0,0.1,0.18181818181818182
Non-IID,2,19,2,0.32142857142857145,0.9,0.4736842105263158
Non-IID,2,19,3,0.23076923076923078,0.9,0.3673469387755102
Non-IID,2,19,4,0.0,0.0,0.0
Non-IID,2,19,5,0.0,0.0,0.0
Non-IID,2,19,6,1.0,0.1,0.18181818181818182
Non-IID,2,19,7,0.3333333333333333,1.0,0.5
Non-IID,2,19,8,0.0,0.0,0.0
Non-IID,2,19,9,0.0,0.0,0.0
Non-IID,2,6,0,1.0,0.1,0.18181818181818182
Non-IID,2,6,1,1.0,0.1,0.18181818181818182
Non-IID,2,6,2,0.32142857142857145,0.9,0.4736842105263158
Non-IID,2,6,3,0.23076923076923078,0.9,0.3673469387755102
Non-IID,2,6,4,0.0,0.0,0.0
Non-IID,2,6,5,0.0,0.0,0.0
Non-IID,2,6,6,1.0,0.1,0.18181818181818182
Non-IID,2,6,7,0.3333333333333333,1.0,0.5
Non-IID,2,6,8,0.0,0.0,0.0
Non-IID,2,6,9,0.0,0.0,0.0
Non-IID,3,11,0,0.8888888888888888,0.8,0.8421052631578948
Non-IID,3,11,1,1.0,0.8,0.888888888888889
Non-IID,3,11,2,1.0,0.1,0.18181818181818182
Non-IID,3,11,3,0.875,0.7,0.7777777777777777
Non-IID,3,11,4,0.0,0.0,0.0
Non-IID,3,11,5,0.0,0.0,0.0
Non-IID,3,11,6,0.0,0.0,0.0
Non-IID,3,11,7,0.7142857142857143,1.0,0.8333333333333333
Non-IID,3,11,8,0.25,1.0,0.4
Non-IID,3,11,9,0.45,0.9,0.6
Non-IID,3,0,0,0.8888888888888888,0.8,0.8421052631578948
Non-IID,3,0,1,1.0,0.8,0.888888888888889
Non-IID,3,0,2,1.0,0.1,0.18181818181818182
Non-IID,3,0,3,0.875,0.7,0.7777777777777777
Non-IID,3,0,4,0.0,0.0,0.0
Non-IID,3,0,5,0.0,0.0,0.0
Non-IID,3,0,6,0.0,0.0,0.0
Non-IID,3,0,7,0.7142857142857143,1.0,0.8333333333333333
Non-IID,3,0,8,0.25,1.0,0.4
Non-IID,3,0,9,0.45,0.9,0.6
Non-IID,4,10,0,0.9090909090909091,1.0,0.9523809523809523
Non-IID,4,10,1,1.0,0.9,0.9473684210526316
Non-IID,4,10,2,0.7692307692307693,1.0,0.8695652173913044
Non-IID,4,10,3,1.0,0.2,0.33333333333333337
Non-IID,4,10,4,0.8,0.4,0.5333333333333333
Non-IID,4,10,5,0.0,0.0,0.0
Non-IID,4,10,6,0.6,0.9,0.7200000000000001
Non-IID,4,10,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,4,10,8,0.30303030303030304,1.0,0.4651162790697675
Non-IID,4,10,9,0.0,0.0,0.0
Non-IID,4,5,0,0.9090909090909091,1.0,0.9523809523809523
Non-IID,4,5,1,1.0,0.9,0.9473684210526316
Non-IID,4,5,2,0.7692307692307693,1.0,0.8695652173913044
Non-IID,4,5,3,1.0,0.2,0.33333333333333337
Non-IID,4,5,4,0.8,0.4,0.5333333333333333
Non-IID,4,5,5,0.0,0.0,0.0
Non-IID,4,5,6,0.6,0.9,0.7200000000000001
Non-IID,4,5,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,4,5,8,0.30303030303030304,1.0,0.4651162790697675
Non-IID,4,5,9,0.0,0.0,0.0
Non-IID,5,14,0,1.0,1.0,1.0
Non-IID,5,14,1,0.625,1.0,0.7692307692307693
Non-IID,5,14,2,1.0,0.7,0.8235294117647058
Non-IID,5,14,3,1.0,0.5,0.6666666666666666
Non-IID,5,14,4,0.0,0.0,0.0
Non-IID,5,14,5,0.42857142857142855,0.9,0.5806451612903225
Non-IID,5,14,6,0.6666666666666666,1.0,0.8
Non-IID,5,14,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,5,14,8,0.0,0.0,0.0
Non-IID,5,14,9,0.35714285714285715,0.5,0.41666666666666663
Non-IID,5,9,0,1.0,1.0,1.0
Non-IID,5,9,1,0.625,1.0,0.7692307692307693
Non-IID,5,9,2,1.0,0.7,0.8235294117647058
Non-IID,5,9,3,1.0,0.5,0.6666666666666666
Non-IID,5,9,4,0.0,0.0,0.0
Non-IID,5,9,5,0.42857142857142855,0.9,0.5806451612903225
Non-IID,5,9,6,0.6666666666666666,1.0,0.8
Non-IID,5,9,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,5,9,8,0.0,0.0,0.0
Non-IID,5,9,9,0.35714285714285715,0.5,0.41666666666666663
Non-IID,6,6,0,0.9090909090909091,1.0,0.9523809523809523
Non-IID,6,6,1,1.0,0.9,0.9473684210526316
Non-IID,6,6,2,0.8888888888888888,0.8,0.8421052631578948
Non-IID,6,6,3,0.8,0.8,0.8000000000000002
Non-IID,6,6,4,1.0,0.6,0.7499999999999999
Non-IID,6,6,5,1.0,0.8,0.888888888888889
Non-IID,6,6,6,0.5882352941176471,1.0,0.7407407407407407
Non-IID,6,6,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,6,6,8,1.0,0.6,0.7499999999999999
Non-IID,6,6,9,0.75,0.9,0.8181818181818182
Non-IID,6,14,0,0.9090909090909091,1.0,0.9523809523809523
Non-IID,6,14,1,1.0,0.9,0.9473684210526316
Non-IID,6,14,2,0.8888888888888888,0.8,0.8421052631578948
Non-IID,6,14,3,0.8,0.8,0.8000000000000002
Non-IID,6,14,4,1.0,0.6,0.7499999999999999
Non-IID,6,14,5,1.0,0.8,0.888888888888889
Non-IID,6,14,6,0.5882352941176471,1.0,0.7407407407407407
Non-IID,6,14,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,6,14,8,1.0,0.6,0.7499999999999999
Non-IID,6,14,9,0.75,0.9,0.8181818181818182
Non-IID,7,18,0,1.0,0.8,0.888888888888889
Non-IID,7,18,1,1.0,0.7,0.8235294117647058
Non-IID,7,18,2,0.6666666666666666,1.0,0.8
Non-IID,7,18,3,1.0,0.7,0.8235294117647058
Non-IID,7,18,4,0.5,0.9,0.6428571428571429
Non-IID,7,18,5,0.0,0.0,0.0
Non-IID,7,18,6,0.8181818181818182,0.9,0.8571428571428572
Non-IID,7,18,7,0.9090909090909091,1.0,0.9523809523809523
Non-IID,7,18,8,0.43478260869565216,1.0,0.6060606060606061
Non-IID,7,18,9,0.0,0.0,0.0
Non-IID,7,19,0,1.0,0.8,0.888888888888889
Non-IID,7,19,1,1.0,0.7,0.8235294117647058
Non-IID,7,19,2,0.6666666666666666,1.0,0.8
Non-IID,7,19,3,1.0,0.7,0.8235294117647058
Non-IID,7,19,4,0.5,0.9,0.6428571428571429
Non-IID,7,19,5,0.0,0.0,0.0
Non-IID,7,19,6,0.8181818181818182,0.9,0.8571428571428572
Non-IID,7,19,7,0.9090909090909091,1.0,0.9523809523809523
Non-IID,7,19,8,0.43478260869565216,1.0,0.6060606060606061
Non-IID,7,19,9,0.0,0.0,0.0
Non-IID,8,0,0,1.0,0.7,0.8235294117647058
Non-IID,8,0,1,1.0,0.9,0.9473684210526316
Non-IID,8,0,2,1.0,0.4,0.5714285714285715
Non-IID,8,0,3,0.38461538461538464,1.0,0.5555555555555556
Non-IID,8,0,4,1.0,0.3,0.4615384615384615
Non-IID,8,0,5,1.0,0.1,0.18181818181818182
Non-IID,8,0,6,0.7142857142857143,1.0,0.8333333333333333
Non-IID,8,0,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,8,0,8,0.8888888888888888,0.8,0.8421052631578948
Non-IID,8,0,9,0.6,0.9,0.7200000000000001
Non-IID,8,14,0,1.0,0.7,0.8235294117647058
Non-IID,8,14,1,1.0,0.9,0.9473684210526316
Non-IID,8,14,2,1.0,0.4,0.5714285714285715
Non-IID,8,14,3,0.38461538461538464,1.0,0.5555555555555556
Non-IID,8,14,4,1.0,0.3,0.4615384615384615
Non-IID,8,14,5,1.0,0.1,0.18181818181818182
Non-IID,8,14,6,0.7142857142857143,1.0,0.8333333333333333
Non-IID,8,14,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,8,14,8,0.8888888888888888,0.8,0.8421052631578948
Non-IID,8,14,9,0.6,0.9,0.7200000000000001
