scenario,round,class,precision,recall,f1
Non-IID,50,0,0.9897435897435898,0.9846938775510204,0.9872122762148339
Non-IID,50,1,0.9911816578483245,0.9903083700440528,0.9907448215072718
Non-IID,50,2,0.987,0.9563953488372093,0.9714566929133858
Non-IID,50,3,0.9276437847866419,0.9900990099009901,0.9578544061302682
Non-IID,50,4,0.9866117404737385,0.9755600814663951,0.9810547875064004
Non-IID,50,5,0.9963768115942029,0.9248878923766816,0.9593023255813953
Non-IID,50,6,0.9491525423728814,0.9937369519832986,0.9709331973482918
Non-IID,50,7,0.9880239520958084,0.9630350194552529,0.9753694581280788
Non-IID,50,8,0.9686552072800809,0.9835728952772074,0.9760570555272542
Non-IID,50,9,0.9647058823529412,0.9752229930624381,0.9699359290290783
Non-IID,50,0,0.989145183175034,0.7438775510204082,0.8491555037856726
Non-IID,50,1,0.9684487291849255,0.973568281938326,0.9710017574692443
Non-IID,50,2,0.6958333333333333,0.9709302325581395,0.8106796116504854
Non-IID,50,3,0.7209125475285171,0.9386138613861386,0.815483870967742
Non-IID,50,4,0.897489539748954,0.8737270875763747,0.8854489164086687
Non-IID,50,5,1.0,0.043721973094170405,0.08378088077336197
Non-IID,50,6,0.9963503649635036,0.569937369519833,0.7250996015936255
Non-IID,50,7,0.9641693811074918,0.8638132295719845,0.9112365315546433
Non-IID,50,8,0.47326732673267324,0.9815195071868583,0.6386105544422177
Non-IID,50,9,0.9354473386183465,0.8186323092170465,0.8731501057082452
Non-IID,50,0,0.9425742574257425,0.9714285714285714,0.9567839195979898
Non-IID,50,1,0.9251644736842105,0.9911894273127754,0.9570395576350489
Non-IID,50,2,0.8615916955017301,0.9651162790697675,0.9104204753199269
Non-IID,50,3,0.9958932238193019,0.4801980198019802,0.6479625918503674
Non-IID,50,4,0.9815950920245399,0.48879837067209775,0.6526172671651937
Non-IID,50,5,0.9420970266040689,0.6748878923766816,0.7864141084258653
Non-IID,50,6,0.9105928085519922,0.9780793319415448,0.9431303472571716
Non-IID,50,7,0.9485776805251641,0.8433852140077821,0.8928939237899073
Non-IID,50,8,0.9795918367346939,0.34496919917864477,0.510250569476082
Non-IID,50,9,0.3673168936326831,0.9890981169474727,0.5356951154052604
