scenario,round,client_id,loss,accuracy,precision,recall,f1
Non-IID,1,13,3.017345209121704,0.1,0.0101010101010101,0.1,0.01834862385321101
Non-IID,1,18,3.017345209121704,0.1,0.0101010101010101,0.1,0.01834862385321101
Non-IID,2,19,2.1657344055175782,0.31,0.3885531135531135,0.31,0.18864856947563718
Non-IID,2,6,2.1657344055175782,0.31,0.3885531135531135,0.31,0.18864856947563718
Non-IID,3,11,2.1138544273376465,0.53,0.5178174603174603,0.53,0.4523923444976076
Non-IID,3,0,2.1138544273376465,0.53,0.5178174603174603,0.53,0.4523923444976076
Non-IID,4,10,1.6338531875610351,0.64,0.6214685314685314,0.6399999999999999,0.5730188445652231
Non-IID,4,5,1.6338531875610351,0.64,0.6214685314685314,0.6399999999999999,0.5730188445652231
Non-IID,5,14,1.1032308387756347,0.66,0.5910714285714286,0.6599999999999999,0.5965829584710041
Non-IID,5,9,1.1032308387756347,0.66,0.5910714285714286,0.6599999999999999,0.5965829584710041
Non-IID,6,6,0.5477860355377198,0.84,0.8769548425430779,0.8400000000000001,0.8398756993493836
Non-IID,6,14,0.5477860355377198,0.84,0.8769548425430779,0.8400000000000001,0.8398756993493836
Non-IID,7,18,1.234438934326172,0.7,0.6328722002635047,0.7,0.639438927085986
Non-IID,7,19,1.234438934326172,0.7,0.6328722002635047,0.7,0.639438927085986
Non-IID,8,0,0.8971848392486572,0.71,0.8421123321123322,0.7100000000000001,0.6845768108740244
Non-IID,8,14,0.8971848392486572,0.71,0.8421123321123322,0.7100000000000001,0.6845768108740244
Non-IID,9,1,0.5806113457679749,0.85,0.8852924852924853,0.85,0.8409215625462766
Non-IID,9,7,0.5806113457679749,0.85,0.8852924852924853,0.85,0.8409215625462766
Non-IID,10,12,0.568040406703949,0.83,0.79,0.8299999999999998,0.7932828282828284
Non-IID,10,11,0.568040406703949,0.83,0.79,0.8299999999999998,0.7932828282828284
Non-IID,11,19,0.5956522893905639,0.82,0.8507467532467532,0.82,0.8185872569123344
Non-IID,11,11,0.5956522893905639,0.82,0.8507467532467532,0.82,0.8185872569123344
Non-IID,12,13,1.0100316768884658,0.63,0.7237794612794612,0.63,0.5897576886547474
Non-IID,12,3,1.0100316768884658,0.63,0.7237794612794612,0.63,0.5897576886547474
Non-IID,13,15,0.6366522407531738,0.75,0.8281962481962483,0.7499999999999999,0.7152061973114605
Non-IID,13,7,0.6366522407531738,0.75,0.8281962481962483,0.7499999999999999,0.7152061973114605
Non-IID,14,13,0.2843472027778626,0.94,0.9466666666666667,0.9400000000000001,0.940180754917597
Non-IID,14,2,0.2843472027778626,0.94,0.9466666666666667,0.9400000000000001,0.940180754917597
Non-IID,15,7,0.46335712432861326,0.86,0.8802097902097904,0.86,0.8484368530020705
Non-IID,15,4,0.46335712432861326,0.86,0.8802097902097904,0.86,0.8484368530020705
Non-IID,16,7,0.5172895479202271,0.82,0.8996031746031747,0.8200000000000001,0.8343989429902742
Non-IID,16,14,0.5172895479202271,0.82,0.8996031746031747,0.8200000000000001,0.8343989429902742
Non-IID,17,9,0.8576081752777099,0.72,0.6244981325863679,0.72,0.6469605443289653
Non-IID,17,1,0.8576081752777099,0.72,0.6244981325863679,0.72,0.6469605443289653
Non-IID,18,11,0.478139705657959,0.85,0.8803711484593837,0.85,0.8496410440837685
Non-IID,18,18,0.478139705657959,0.85,0.8803711484593837,0.85,0.8496410440837685
Non-IID,19,17,0.6812808990478516,0.77,0.8775000000000001,0.7699999999999999,0.7573448773448772
Non-IID,19,15,0.6812808990478516,0.77,0.8775000000000001,0.7699999999999999,0.7573448773448772
Non-IID,20,5,0.4600459861755371,0.83,0.8773516679399032,0.8299999999999998,0.818728047551577
Non-IID,20,11,0.4600459861755371,0.83,0.8773516679399032,0.8299999999999998,0.818728047551577
Non-IID,21,9,0.32992143392562867,0.89,0.9133877233877234,0.8899999999999999,0.8912727043525267
Non-IID,21,14,0.32992143392562867,0.89,0.9133877233877234,0.8899999999999999,0.8912727043525267
Non-IID,22,7,0.9169902420043945,0.7,0.6355311355311356,0.7,0.6303505038058814
